Локация;Номер аудитории;Название подразделения;Этаж;ФИО;Краткое описание;Описание для дополненной реальности;Сцена;Должность;Изображение
МАМИ;А-1;Отдел управления кампусом;0;;;;BS001;;
МАМИ;А-112;Инженерная школа(факультет);1;;Инженерная образовательная среда для учителей и студентов;;BS112;;
МАМИ;А-111;Центр проектной деятельности;1;;;;BS111;;
МАМИ;А-110;Отдел контроля и делопроизводства;1;;;;BS110;;
МАМИ;А-101;Центр проектной деятельности материально-техническое обеспечение;1;;;;BS101;;
МАМИ;А-102;Центр проектной деятельности;1;Лепёшкин Илья Александрович;Начальник центра проектной деятельности;;BS102;;
МАМИ;А-109;Управление модернизации и эксплуатации кампуса;1;;;;BS109;;
МАМИ;А-103;Секретариат;1;Колтунов Игорь Ильич;Учёный секретарь;;BS103;;
МАМИ;А-104;Управление комплексной безопасностью;1;;;;BS104;;
МАМИ;А-105;Управление комплексной безопасности;1;Тюменев Александр Владимирович;Кабинет начальника управления комплексной безопасности;;BS105;;
МАМИ;А-106;Отдел охраны труда;1;;;;BS106;;
МАМИ;А-107;Медпункт;1;;;;BS107;;
МАМИ;А-112г;Кафедра физического воспитания;1;;;;BS112g;;
МАМИ;А-112в;Кафедра физического воспитания;1;;;;BS112v;;
МАМИ;А-112б;Кафедра физического воспитания;1;;;;BS112b;;
МАМИ;А-108;Кафедра физического воспитания;1;;;;BS108;;
МАМИ;А-12;Центр проектной деятельности;0;;;;BS012;;
МАМИ;А-13;Центр проектной деятельности;0;;;;BS013;;
МАМИ;А-120;Инженерная школа(факультет);1;;;;BS120;;
МАМИ;А-119;Управление по работе с персоналом;1;Вакуленко Владимир Федорович;Кабинет советника при ректорате;;BS119;;
МАМИ;А-113;;1;;;;BS113;;
МАМИ;А-114;Отдел кадров;1;Плаксина Анна Александровна;;;BS114;;
МАМИ;А-118;Юридическое управление;1;Марченко Сергей Сергеевич;Кабинет начальника юридического управления;;BS118;;
МАМИ;А-117;Управление студенческим городком;1;Лукашева Мария Ивановна;Кабинет начальника управления студенческого городка;;BS117;;
МАМИ;А-115;Юридическое управление;1;;;;BS115;;
МАМИ;А-116;Управление студенческим городком;1;;;;BS116;;
МАМИ;В-3;Кафедра обработки материалов под давлением и аддитивные технологии;0;;;;BS3;;
МАМИ;А-219;Имущественное управление;2;Шараева Лилия Ансаровна;Начальник имущественного управления;нет фото;BS219;;
МАМИ;А-216;Управление модернизации и эксплуатации кампуса;2;;;;BS216;;
МАМИ;А-211;Имущественное управление;2;Родионов Павел Олегович;Проректор по управлению кампусом;нет фото;BS211;;
МАМИ;А-220;Управление модернизации и эксплуатации кампуса;2;Евдокимов Игорь Васильевич;;нет фото;BS220;;
МАМИ;А-201;Библиотечном-информационный зал;2;;Читальный зал;;BS201;;
МАМИ;А-210;Ректорат;2;Красильников Илья Олегович;Директор по цифровому развитию;;BS210;;
МАМИ;А-200;Ректорат;2;Соппа Игорь Владимирович;Проректор по международной деятельности;;BS200;;
МАМИ;А-209;Ректорат;2;Рагулин Богдан Викторович;Директор по маркетингу и корпоративным связям;нет фото;BS209;;
МАМИ;А-208;Ректорат;2;Боровин Юрий Михайлович;Кабинет проректора по научной и инновационной работе;;BS208;;
МАМИ;А-207;Ректорат;2;Ватулин Игорь Игоревич;Первый проректор;;BS207;;
МАМИ;А-205;Ректорат;2;Переговорная;;;BS205;;
МАМИ;А-203;Ректорат;2;Миклушевский Владимир Владимирович;Кабинет Ректора;;BS203;;
МАМИ;А-204;Управление образовательной деятельностью;2;Шарипзянова Газель Харрясовна;Проректор по учебной работе;;BS204;;
МАМИ;А-202;Актовый зал;2;;;;BS202;;
МАМИ;А-316;;3;;;;BS316;;
МАМИ;А-317;;3;;;;BS317;;
МАМИ;А-326;Отдел международных программ(бывш.академической мобильности);3;;;;BS326;;
МАМИ;А-324;Мобилизационный отдел;3;;;;BS324;;
МАМИ;А-318;Отдел планирования и бюджетирования;3;;;;BS318;;
МАМИ;А-323;Сектор аспирантуры и докторантуры;3;;;;BS323;;
МАМИ;А-322;Отдел организации мероприятий;3;;;;BS322;;
МАМИ;А-321;Ректорат;3;Тимохин Дмитрий Александрович;Кабинет проректора по управлению делами и контролю;;BS321;;
МАМИ;А-319;Отдел труда и заработной платы;3;;;;BS319;;
МАМИ;А-320;Проектный офис;3;Черанёв Святослав Васильевич;Кабинет руководителя проектного офиса;;BS320;;
МАМИ;А-315;Договорной отдел;3;;;;BS315;;
МАМИ;А-301;;3;;;;BS301;;
МАМИ;А-314;Финансовый отдел;3;;;;BS314;;
МАМИ;А-313;Финансовый отдел;3;;;;BS313;;
МАМИ;А-302;Контрактная служба;3;;;;BS302;;
МАМИ;А-312;Материальный отдел;3;;;;BS312;;
МАМИ;А-311;Расчетный отдел;3;;;;BS311;;
МАМИ;А-303;Ректорат;3;Кайданович Александр Юрьевич;Проректор по воспитательной и социальной работе;;BS303;;
МАМИ;А-310;Управление бухгалтерского учёта;3;;;;BS310;;
МАМИ;А-309;Управление бухгалтерского учёта;3;Бондарь Светлана Васильевна;Кабинет главного бухгалтера;;BS309;;
МАМИ;А-305;Отдел мониторинга и формирования отчетности;3;;;;BS305;;
МАМИ;А-308;Финансовый отдел;3;;;;BS308;;
МАМИ;А-306;Отдел снабжения;3;;;;BS306;;
МАМИ;А-307;Управление экономики и финансов;3;Лихтер Анастасия Анатольевна;Кабинет зам.начальника управления экономики и финансов;;BS307;;
МАМИ;А-407;Первый отдел;4;;;;BS407;;
МАМИ;А-406;Отдел планирования учебного процесса;4;;;;BS406;;
МАМИ;А-408;Первый отдел;4;;;;BS408;;
МАМИ;А-409;Центр по связям с общественностью Центр компетенций World skills;4;;;;BS409;;
МАМИ;А-410;Отдел социальной защиты;4;;;;BS410;;
МАМИ;А-405;Учебно-методическое управление;4;Толстов Андрей Николаевич;Кабинет начальника учебно-методического управления;;BS405;;
МАМИ;А-411;;4;;;;BS411;;
МАМИ;А-404;Транспортный факультет;4;Итурралде Бакеро Пабло Эмилио;Кабинет и.о. декана транспортного факультета, начальника центра развития инжиниринга;;BS404;;
МАМИ;А-412;Центр по работе со студентами;4;Горина Юлия Евгеньевна;Кабинет начальника управления контингента образовательных программ;;BS412;;
МАМИ;А-403;Транспортный факультет;4;;;;BS403;;
МАМИ;А-402;Центр по связям с общественностью;4;Солюс Татьяна Анатольевна;Кабинет начальника центра по связям с общественностью;;BS402;;
МАМИ;А-413;Центр карьеры, практики и трудоустройства;4;;;;BS413;;
МАМИ;А-401;Штаб го и чс;4;;;;BS401;;
МАМИ;А-414;Управление по воспитательной и социальной работе;4;;;;BS414;;
МАМИ;А-416;Управление информационных технологий;4;;;;BS416;;
МАМИ;А-417;;4;;;;BS417;;
МАМИ;А-425;Отдел аккредитации и лицензирования;4;;;;BS425;;
МАМИ;А-418;Отдел технической поддержки;4;;;;BS418;;
МАМИ;А-424;Управление информационных технологий;4;;;;BS424;;
МАМИ;А-423;Организационный отдел Технопарка;4;;;;BS423;;
